"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,24104,25219,26716,26272,24985,22027,19083
"Belgique",NA,27886,51160,27977,56078,37839,39786,33421
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",0,0,0,0,0,0,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,0,0,0,0,0,32853,34730
"Allemagne",NA,150890,165279,133095,129883,172029,120938,132679
"Danemark",NA,150475,118629,96294,100598,94430,85728,99990
"Estonie",NA,32906,23300,42110,27946,37450,18154,28806
"Grece",NA,0,10078,0,10200,0,11960,13354
"Espagne",NA,107167,99027,67449,60801,58448,18004,0
"Finlande",NA,47615,41860,40771,42421,57360,57805,46852
"France",NA,49683,43420,42816,38926,27393,23821,26116
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",NA,87461,88349,70014,65135,93824,87533,83176
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,108514,113650,94005,83132,83004,57392,21608
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",NA,98758,98974,101164,105059,103075,108943,91796
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",NA,12484,11218,11323,10638,0,0,0
"Pays-bas",NA,30563,29731,27438,23126,20777,23923,26396
"Norvège",NA,125625,116246,103098,56806,60697,55365,36122
"Pologne",NA,62033,50494,49263,45596,36069,30614,28899
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",NA,58487,36397,32652,11099,13404,26628,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,98180,93861,56844,43329,35017,43234,44977
"Royaume-Uni",NA,408325,377626,328553,330990,349435,271513,220885
