"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,27161,29565,26927,27574,24576,21510,14620
"Belgique",NA,44655,29039,28236,32666,31630,33880,30729
"Bulgarie",NA,37312,33387,33472,34410,35172,33017,17352
"Suisse",0,0,0,0,0,0,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,33657,18751,22383,26429,29484,52720,80350
"Allemagne",NA,51496,0,0,0,0,0,0
"Danemark",NA,0,0,0,0,0,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",NA,75267,53558,30611,22352,12369,25216,23348
"Espagne",NA,77426,69098,42037,44110,48329,91619,55632
"Finlande",0,0,0,0,0,0,0,0
"France",NA,13823,15626,13651,14489,22968,27434,28475
"Croatie",NA,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",NA,66364,63494,49750,48617,42758,43774,43763
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,87332,91600,87063,73204,60708,68132,93827
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",NA,12023,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,0,0,0,0,0,0,0
"Norvège",0,0,0,0,0,0,0,0
"Pologne",NA,7416,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",NA,0,0,0,0,0,0,0
"Suède",NA,0,0,0,0,0,0,18732
"Slovenie",0,0,0,0,0,0,0,0
"Turquie",NA,31987,92420,79129,81781,69593,80454,56392
"Royaume-Uni",NA,312964,292391,249967,212008,226134,230912,251275
