"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",200582,504765,459588,464966,458950,495204,480795,507840
"Belgique",464419,904312,875694,880723,803955,774534,729829,632459
"Bulgarie",12912,85570,88739,89163,70286,93397,84663,76283
"Suisse",895302,1792097,1745797,1763154,1634304,1512373,1415475,1330902
"Chypre",0,0,0,0,0,0,0,44350
"Tchéquie",180867,397351,372430,335940,380026,442645,468587,377624
"Allemagne",1667176,3379493,3347194,3460122,3433306,3510845,3352831,3011035
"Danemark",255746,655848,619225,582597,555689,587793,533376,486649
"Estonie",0,0,0,0,0,0,0,0
"Grece",146094,677333,666199,547695,461216,425920,580724,506352
"Espagne",2284613,4832146,4518381,4123653,3922507,4011199,3888657,3268905
"Finlande",109721,259307,264066,236712,234504,220182,250703,254260
"Croatie",0,74630,69558,65564,65812,78078,93574,67441
"Hongrie",123748,243993,243504,212915,211639,220247,249536,228086
"Irlande",327212,816364,785184,737030,641111,629162,577292,618031
"Iselande",94714,215476,135284,114088,91291,76152,66826,49347
"Italie",2069284,4517413,4477666,4348927,4089148,4103972,3963053,3510227
"Lituanie",22995,49694,43268,42654,38807,27395,23797,0
"Luxembourg",0,44407,38176,0,0,0,0,0
"Lettonie",0,37950,57365,58737,55656,40619,48716,42362
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",32650,62314,37221,32988,23311,0,0,0
"Malte",0,61296,92064,52029,47349,40563,39884,0
"Pays-bas",866073,1712738,1479526,1355897,1257528,1213364,1109775,1040214
"Norvège",118689,327082,306253,327641,309975,318225,312393,279894
"Pologne",229854,441802,468586,396216,408247,356609,358526,305383
"Portugal",1329647,2636221,2272865,2090718,1699457,1519406,1290342,1097435
"Roumanie",141116,287776,298086,292005,292058,274326,275963,259782
"Suède",188640,504221,494461,496763,449311,447133,454371,384024
"Slovenie",0,0,0,0,39369,0,63545,51237
"Slovaquie",0,0,0,0,0,23498,27958,28098
"Turquie",356813,825458,915426,862580,806317,721196,721510,592648
"Royaume-Uni",2154564,4832901,4695975,4544606,4368812,4367509,4289630,3924815
