"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,3226560,3187891,3168019,3091119,3103378,2931558,2826453
"Belgique",NA,885575,808516,712983,697483,702854,706643,588839
"Bulgarie",NA,492701,400982,409456,353889,264796,264592,230828
"Suisse",NA,3214191,3036796,2896527,2868898,2944672,2987100,2634658
"Chypre",NA,0,75528,47386,51566,130707,121021,56466
"Tchéquie",NA,499213,460728,444928,487910,475096,472429,435625
"Danemark",NA,1459823,1365546,1356191,1233933,1162530,1088019,951406
"Estonie",NA,140196,147720,134854,106190,131187,64647,0
"Grece",NA,1912419,1667347,1480165,1177173,1036026,1197676,1154683
"Espagne",NA,12377455,11073868,10994295,10056799,9751229,9776044,8788222
"Finlande",NA,872800,817449,863879,809807,838786,828579,732982
"France",NA,3321383,3285752,3412183,3372009,3459239,3385022,3029320
"Croatie",NA,397824,364444,303035,300193,299781,275856,195330
"Hongrie",NA,760258,690073,648846,656370,736217,738057,639484
"Irlande",NA,928673,860265,736958,689343,654289,630836,585340
"Iselande",NA,229564,123766,93364,53439,49520,46317,42255
"Italie",NA,5391706,5014350,4718759,4461259,4275770,4276693,3889427
"Lituanie",NA,184122,186959,150130,163612,174961,100175,78811
"Luxembourg",NA,206070,160211,152152,155230,148514,135573,90004
"Lettonie",NA,328709,311727,250896,238350,263069,219340,213350
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",NA,67354,58175,58969,32931,0,0,0
"Malte",NA,233790,250771,210218,232617,212550,169085,143792
"Pays-bas",NA,2062614,1951215,1790993,1689790,1657898,1627946,1353441
"Norvège",NA,681162,722690,740976,740056,754366,771579,728771
"Pologne",NA,1665189,1544117,1427745,1367634,1275044,1181742,1101810
"Portugal",NA,1583778,1440137,1305147,1073731,1061107,959090,859005
"Roumanie",NA,865394,805067,742059,693933,595492,449121,379227
"Suède",NA,1559726,1448530,1275331,1273757,1265009,1209538,1136547
"Slovenie",NA,112183,111679,108114,108909,61010,98390,96290
"Slovaquie",NA,51519,0,0,0,0,0,0
"Turquie",NA,5954540,7031790,6417258,6143851,6146780,5613781,5178542
"Royaume-Uni",NA,6161274,6033709,5700927,5527319,5497262,5402941,5109738
