"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",47941,108163,105435,101476,83680,83657,70782,68518
"Belgique",0,22452,26870,24989,28563,14271,19901,20409
"Bulgarie",20622,40066,39557,0,25233,0,0,0
"Suisse",16344,61337,45890,49754,39630,41272,43186,45031
"Tchéquie",0,0,0,0,0,0,60991,60478
"Allemagne",37758,52587,78741,45848,84108,113117,107309,79307
"Danemark",0,0,0,0,0,0,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",359466,762246,654880,563273,466849,532180,508488,541165
"Espagne",0,0,0,0,0,0,0,0
"Finlande",0,0,0,0,20743,0,0,0
"France",0,0,0,0,26248,0,0,48336
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,30440,0,38738,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",0,13501,16973,0,24242,13233,0,0
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",20462,0,46023,39254,38443,0,0,47605
"Pays-bas",0,16890,18266,17103,35480,22868,35457,36628
"Norvège",12277,0,0,0,38145,41734,42201,0
"Pologne",27666,11208,10752,10084,10093,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",31891,68825,62188,56920,52503,54079,52934,0
"Suède",19767,45540,43907,50456,82685,49878,51547,49695
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",0,0,0,0,0,0,0,0
"Royaume-Uni",567882,1175638,1036355,989908,1061809,1115226,1205744,1143457
