"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",369739,843385,725724,668933,610118,645132,644959,671153
"Belgique",274834,679432,720351,651356,572696,552088,467178,449231
"Bulgarie",225791,476816,357247,233104,213306,204425,198670,201423
"Suisse",1465659,2621867,2556837,2520389,2473506,2450719,2435085,2247139
"Chypre",338076,1080851,960134,830596,882785,941945,1083859,1025022
"Tchéquie",314389,758646,686568,649289,608045,605503,571660,531732
"Allemagne",2767549,6285116,6147803,5702166,5586277,5566827,5368273,5074922
"Danemark",773146,1789598,1599329,1405044,1284293,1210889,1200987,1027480
"Estonie",0,38027,0,0,0,0,38974,41845
"Grece",408522,2108146,1890889,1641298,1371753,1292350,1371792,1432657
"Espagne",8574545,19282997,16274961,15688996,14895183,14036863,13891323,12725782
"Finlande",237426,512194,499030,480881,433974,380113,403212,388596
"France",2064283,5076422,4850706,4530239,4371076,4284076,4195740,3834131
"Croatie",83124,276256,251112,236416,210480,215588,143133,135282
"Hongrie",383892,891835,788159,696975,597059,565898,514367,406821
"Irlande",2824542,6090562,5545664,4842861,4594065,4455389,4397938,4370685
"Iselande",284017,536581,422128,316153,202634,158324,161055,140697
"Italie",2419645,6046100,5450422,4923807,4528602,4386362,4037371,3668313
"Lituanie",141460,321815,311175,282102,236187,209500,165922,117557
"Luxembourg",43986,165575,169402,156973,151965,132980,119207,73817
"Lettonie",121429,317206,295351,247831,237136,216557,222723,226044
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",216302,535504,461059,395554,375527,368423,377758,385219
"Pays-bas",2553487,5098482,4698364,4353310,4015770,3854775,3733152,3386950
"Norvège",459427,1046712,1140946,1085806,1115560,942214,877050,825155
"Pologne",1082795,2693423,2397452,2045159,1993598,1784386,1648591,1610740
"Portugal",1636532,3366720,2984087,2816079,2512597,2329117,2408299,2153834
"Roumanie",420244,908003,655937,428978,329393,291690,303493,265219
"Suède",623688,1338277,1272513,1128750,1106922,1128637,1132383,950839
"Slovenie",0,53163,44990,43399,45197,45186,45257,41692
"Slovaquie",57689,207421,208330,181312,130700,138701,164270,162006
"Turquie",551791,1821257,2351400,2334285,2162479,1991249,1992017,2166079
