"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,83428,79461,57616,52369,12261,11502,10947
"Belgique",NA,616297,587239,511062,333282,354282,308727,283099
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,901406,775718,743003,705368,682175,627069,572397
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,41593,41192,38134,0,0,0,0
"Allemagne",NA,1512350,1268100,1169418,976263,960185,893497,775357
"Danemark",NA,85089,83598,109742,111225,88390,73445,78019
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",NA,1445486,1309671,1203734,1133492,1285945,1456451,1296409
"Finlande",NA,0,0,18669,18140,18999,19843,57896
"France",NA,2672775,2304283,2020327,1646490,1397508,1234374,1095520
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,0,47575,0,0,0,0,0
"Irlande",NA,414601,357428,312363,280056,219341,237851,204547
"Iselande",0,0,0,0,0,0,0,0
"Italie",NA,700583,642207,475413,465316,485738,468630,440749
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",NA,203444,160306,131510,51668,53157,57370,53437
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,975564,811960,714600,663384,559592,526323,427781
"Norvège",NA,55323,60794,67882,60523,50681,37479,37475
"Pologne",NA,52561,46784,12372,11770,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",NA,44503,46311,54268,42243,0,0,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,88007,88696,66367,48708,41854,0,0
"Royaume-Uni",NA,3293745,2970537,2798475,2494920,2291628,2427738,2130009
