"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",0,192655,195482,191773,211221,249916,187762,173837
"Belgique",0,103574,91348,74566,79561,76059,81829,79005
"Suisse",0,29395,27836,0,0,0,38287,38930
"Chypre",0,39637,39601,30668,27077,27123,30691,31035
"Tchéquie",0,75773,94687,46473,74864,96078,116337,106616
"Allemagne",0,772036,563728,500503,491838,482191,469130,383466
"Danemark",0,0,16056,0,20751,28735,27361,28339
"Estonie",0,10653,0,0,0,0,0,0
"Grece",0,74374,47823,49853,46549,49919,51786,49628
"Espagne",0,147222,125196,124682,116406,113690,119555,127727
"Finlande",0,0,15195,0,24833,10901,29384,28519
"France",0,86483,89795,89599,70978,94101,85463,76765
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,10414,0,11527,12040,65227,47797
"Irlande",0,0,15095,0,13959,14760,20126,16201
"Iselande",0,0,0,0,0,0,0,0
"Italie",0,209775,174734,157700,127474,121015,124915,134682
"Lituanie",0,11864,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,10215,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,20984,0,0,0,0,0,0
"Pays-bas",0,113002,96725,101581,101302,94727,90110,60020
"Norvège",0,0,17032,22539,22551,21366,18122,15210
"Pologne",0,194685,128309,92994,79249,75162,70369,52788
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,10379,28433,25769,25875,0,0
"Suède",0,0,0,0,10514,0,11993,12495
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,22423,33576,20882,34823,36770,23155,17513
"Turquie",0,116032,120924,93079,76043,58977,39955,36880
"Royaume-Uni",0,536935,457260,336059,373972,359785,344789,344256
