"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,503482,348667,326957,316404,300864,301441,259084
"Belgique",NA,106348,116042,120270,111464,105755,113076,113723
"Bulgarie",NA,88935,74467,76085,70130,95505,60226,18082
"Suisse",NA,940744,888753,674502,658020,646395,628812,567408
"Chypre",NA,0,0,0,0,0,0,0
"Tchéquie",NA,337968,264797,248512,240482,244224,268651,227415
"Allemagne",NA,2106462,2000377,1833110,1745737,1679733,1659827,1358455
"Danemark",NA,801184,741489,675106,615537,604491,548120,475942
"Estonie",NA,41546,39919,41653,42507,46231,0,0
"Grece",NA,583571,441586,459707,409143,356041,445817,398747
"Espagne",NA,3676955,3059998,2831178,2585362,2554185,2724777,2182477
"Finlande",NA,282049,254704,250899,239978,232108,236403,203224
"France",NA,1673939,1463075,1507727,1389882,1336534,1201403,1105411
"Croatie",NA,100162,86782,67902,0,38344,0,0
"Hongrie",NA,369252,299461,303897,295571,292167,273163,202128
"Irlande",NA,615725,450524,404125,401247,375426,371091,333272
"Iselande",NA,156787,102503,79729,68952,59491,50031,42739
"Italie",NA,2148498,1995094,1743322,1589615,1527127,1420572,1308408
"Lituanie",NA,31050,30059,27713,23362,21047,0,0
"Luxembourg",NA,81428,74648,67185,62380,58783,53461,47080
"Lettonie",NA,65145,79035,59929,52259,48267,46005,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",NA,52611,46830,40018,0,0,0,0
"Norvège",NA,887944,871078,843679,785915,805242,742958,667590
"Pologne",NA,500232,410615,325612,259698,234180,197156,207711
"Portugal",NA,988690,812809,750666,735193,599556,541189,466431
"Roumanie",NA,211393,221190,194511,177739,162754,153495,140752
"Suède",NA,616235,576508,528842,541568,533258,495751,460032
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,1053679,1323758,1376923,1283166,1174245,1126028,948483
"Royaume-Uni",NA,5054585,4694312,4303828,4016251,3808205,3741650,3398108
