"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",NA,31184,31059,29886,26063,28745,29070,28550
"Belgique",NA,47933,51379,46686,43701,27678,27322,30771
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",NA,48294,61902,42977,42593,38520,37560,34792
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",NA,0,0,0,0,0,19243,16320
"Allemagne",NA,108916,108169,105722,105649,95733,98867,97245
"Danemark",NA,0,11394,0,0,11663,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",0,0,0,0,0,0,0,0
"Espagne",0,0,0,0,0,0,0,0
"Finlande",NA,17250,17280,15569,17234,13305,10799,0
"France",NA,38262,37459,38574,39387,31928,64252,51339
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",NA,0,0,0,0,0,0,0
"Irlande",0,0,0,0,0,0,0,0
"Iselande",0,0,0,0,0,0,0,0
"Italie",0,0,0,0,0,0,0,0
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",NA,19119,16694,13216,12965,10725,11123,0
"Macedoine",NA,21691,22927,23204,27140,26792,28544,31225
"Malte",0,0,0,0,0,0,0,0
"Pays-bas",NA,16566,11877,0,11481,12266,12319,13295
"Norvège",0,0,0,0,0,0,0,0
"Pologne",NA,17760,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",NA,48634,60265,65633,68369,64303,79165,73451
"Royaume-Uni",NA,84500,70564,64073,65668,56872,59671,60033
