"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",23230,51357,54062,47378,36811,35902,28808,25587
"Belgique",60058,56765,52796,47576,43583,41797,43691,38304
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",25655,55496,45129,34376,33123,33588,34486,33768
"Chypre",24098,0,45722,35852,39312,46579,47997,48228
"Tchéquie",0,0,0,0,0,0,0,0
"Allemagne",110908,208410,248114,247031,250917,212083,205240,170501
"Danemark",0,0,0,0,0,0,0,0
"Estonie",0,0,0,0,0,0,0,0
"Grece",15964,0,0,0,0,0,0,0
"Espagne",24129,43913,58779,29116,31147,34181,31171,35595
"Finlande",0,0,0,0,0,0,0,0
"France",47953,61403,115508,108276,93796,86875,88021,58957
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",18366,40621,30752,28157,0,0,0,0
"Irlande",19023,38771,38300,29761,29600,28436,27375,29205
"Iselande",0,0,0,0,0,0,0,0
"Italie",205532,348514,400408,354072,315391,247460,198142,246998
"Lituanie",0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",0,0,0,0,0,0,0,0
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Pays-bas",24895,52309,46504,36324,31655,31391,29565,33601
"Norvège",0,0,0,0,0,0,0,0
"Pologne",0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",0,0,0,0,0,19945,20313,20376
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",33699,65542,57686,31418,0,0,0,0
"Royaume-Uni",251080,476619,561117,499469,466707,427578,439844,405418
"Total",884590,1499720,1754877,1528806,1372042,1245815,1194653,1146538
