"","2017","2016","2015","2014","2013","2012","2011","2010"
"Autriche",11691,21730,23196,24893,24846,23797,21580,18847
"Belgique",16207,30697,50787,28229,56008,39536,41470,34645
"Bulgarie",0,0,0,0,0,0,0,0
"Suisse",0,0,0,0,0,0,0,0
"Chypre",0,0,0,0,0,0,0,0
"Tchéquie",0,0,0,0,0,0,33299,35159
"Allemagne",93953,148504,166913,134079,130074,174836,116936,129705
"Danemark",76523,159807,124669,102721,104074,98267,91530,108131
"Estonie",20827,31293,22326,34310,19668,38138,17374,29983
"Grece",0,0,10066,0,10208,0,12277,13240
"Espagne",38364,109159,103218,67631,62052,58643,18586,0
"Finlande",21830,45810,40964,39219,41866,55773,53958,43438
"France",24044,50197,44901,45201,40668,29301,25260,25406
"Croatie",0,0,0,0,0,0,0,0
"Hongrie",0,0,0,0,0,0,0,0
"Irlande",35178,85601,86757,68949,65577,95314,89626,86527
"Iselande",0,0,0,0,0,0,0,0
"Italie",57745,106369,114184,91790,82684,84685,57398,20925
"Luxembourg",0,0,0,0,0,0,0,0
"Lettonie",53451,101045,93943,99603,101441,98098,108566,89118
"Montenegro",0,0,0,0,0,0,0,0
"Macedoine",0,0,0,0,0,0,0,0
"Malte",0,12862,11537,11359,10569,0,0,0
"Pays-bas",38250,31718,30783,28844,24292,21087,25803,29848
"Norvège",93346,127818,121023,108783,59359,64178,54506,34762
"Pologne",37605,59083,50952,51239,48554,36638,30532,26488
"Portugal",0,0,0,0,0,0,0,0
"Roumanie",0,0,0,0,0,0,0,0
"Suède",27721,56566,34955,30411,11480,14125,26367,0
"Slovenie",0,0,0,0,0,0,0,0
"Slovaquie",0,0,0,0,0,0,0,0
"Turquie",17577,97977,95368,56624,43821,35276,43316,45337
"Royaume-Uni",223107,404379,381957,331324,340923,365373,280994,238404
